"Step","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum__MIN","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum__MAX","Yahoo b512 l0.0005 -- qx8h22fz - total_loss","Yahoo b512 l0.0005 -- qx8h22fz - total_loss__MIN","Yahoo b512 l0.0005 -- qx8h22fz - total_loss__MAX"
"150","1709.6019287109375","1709.6019287109375","1709.6019287109375","1961.4986572265625","1961.4986572265625","1961.4986572265625"
"151","1692.5875244140625","1692.5875244140625","1692.5875244140625","1889.986083984375","1889.986083984375","1889.986083984375"
"152","1690.6082763671875","1690.6082763671875","1690.6082763671875","1918.069580078125","1918.069580078125","1918.069580078125"
"153","1678.37890625","1678.37890625","1678.37890625","1952.92333984375","1952.92333984375","1952.92333984375"
"154","1640.044921875","1640.044921875","1640.044921875","1925.740478515625","1925.740478515625","1925.740478515625"
"155","1674.8209228515625","1674.8209228515625","1674.8209228515625","1858.107177734375","1858.107177734375","1858.107177734375"
"156","1691.9019775390625","1691.9019775390625","1691.9019775390625","1885.19287109375","1885.19287109375","1885.19287109375"
"157","1645.2542724609375","1645.2542724609375","1645.2542724609375","1874.667724609375","1874.667724609375","1874.667724609375"
"158","1639.3974609375","1639.3974609375","1639.3974609375","1891.2354736328125","1891.2354736328125","1891.2354736328125"
"159","1657.529296875","1657.529296875","1657.529296875","1897.821044921875","1897.821044921875","1897.821044921875"
"160","1673.208984375","1673.208984375","1673.208984375","1888.8294677734375","1888.8294677734375","1888.8294677734375"
"161","1663.630126953125","1663.630126953125","1663.630126953125","1878.1036376953125","1878.1036376953125","1878.1036376953125"
"162","1645.9676513671875","1645.9676513671875","1645.9676513671875","1894.567626953125","1894.567626953125","1894.567626953125"
"163","1652.062744140625","1652.062744140625","1652.062744140625","1841.97119140625","1841.97119140625","1841.97119140625"
"164","1665.6087646484375","1665.6087646484375","1665.6087646484375","1899.2635498046875","1899.2635498046875","1899.2635498046875"
"165","1614.51806640625","1614.51806640625","1614.51806640625","1832.6483154296875","1832.6483154296875","1832.6483154296875"
"166","1622.64111328125","1622.64111328125","1622.64111328125","1840.575439453125","1840.575439453125","1840.575439453125"
"167","1645.7001953125","1645.7001953125","1645.7001953125","1902.8023681640625","1902.8023681640625","1902.8023681640625"
"168","1653.6756591796875","1653.6756591796875","1653.6756591796875","1884.405029296875","1884.405029296875","1884.405029296875"
"169","1627.29296875","1627.29296875","1627.29296875","1868.376708984375","1868.376708984375","1868.376708984375"
"170","1636.4827880859375","1636.4827880859375","1636.4827880859375","1826.66748046875","1826.66748046875","1826.66748046875"
"171","1654.5863037109375","1654.5863037109375","1654.5863037109375","1827.9903564453125","1827.9903564453125","1827.9903564453125"
"172","1659.731689453125","1659.731689453125","1659.731689453125","1885.0772705078125","1885.0772705078125","1885.0772705078125"
"173","1666.734375","1666.734375","1666.734375","1913.234619140625","1913.234619140625","1913.234619140625"
"174","1655.1715087890625","1655.1715087890625","1655.1715087890625","1828.0003662109375","1828.0003662109375","1828.0003662109375"
"175","1635.854736328125","1635.854736328125","1635.854736328125","1849.102294921875","1849.102294921875","1849.102294921875"
"176","1655.8658447265625","1655.8658447265625","1655.8658447265625","1830.2825927734375","1830.2825927734375","1830.2825927734375"
"177","1650.4281005859375","1650.4281005859375","1650.4281005859375","1879.248046875","1879.248046875","1879.248046875"
"178","1640.021484375","1640.021484375","1640.021484375","1850.945068359375","1850.945068359375","1850.945068359375"
"179","1609.8409423828125","1609.8409423828125","1609.8409423828125","1805.813720703125","1805.813720703125","1805.813720703125"
"180","1666.8623046875","1666.8623046875","1666.8623046875","1918.7347412109375","1918.7347412109375","1918.7347412109375"
"181","1654.6883544921875","1654.6883544921875","1654.6883544921875","1867.334716796875","1867.334716796875","1867.334716796875"
"182","1646.1676025390625","1646.1676025390625","1646.1676025390625","1877.07763671875","1877.07763671875","1877.07763671875"
"183","1645.7291259765625","1645.7291259765625","1645.7291259765625","1869.0208740234375","1869.0208740234375","1869.0208740234375"
"184","1655.6044921875","1655.6044921875","1655.6044921875","1877.084716796875","1877.084716796875","1877.084716796875"
"185","1654.8570556640625","1654.8570556640625","1654.8570556640625","1861.6451416015625","1861.6451416015625","1861.6451416015625"
"186","1663.8411865234375","1663.8411865234375","1663.8411865234375","1889.1324462890625","1889.1324462890625","1889.1324462890625"
"187","1638.1170654296875","1638.1170654296875","1638.1170654296875","1858.134033203125","1858.134033203125","1858.134033203125"
"188","1677.9996337890625","1677.9996337890625","1677.9996337890625","1880.414794921875","1880.414794921875","1880.414794921875"
"189","1696.309814453125","1696.309814453125","1696.309814453125","1954.822998046875","1954.822998046875","1954.822998046875"
"190","1617.5836181640625","1617.5836181640625","1617.5836181640625","1822.523681640625","1822.523681640625","1822.523681640625"
"191","1620.371337890625","1620.371337890625","1620.371337890625","1835.637939453125","1835.637939453125","1835.637939453125"
"192","1633.4052734375","1633.4052734375","1633.4052734375","1832.6619873046875","1832.6619873046875","1832.6619873046875"
"193","1644.646484375","1644.646484375","1644.646484375","1853.653076171875","1853.653076171875","1853.653076171875"
"194","1664.7760009765625","1664.7760009765625","1664.7760009765625","1877.81103515625","1877.81103515625","1877.81103515625"
"195","1645.6734619140625","1645.6734619140625","1645.6734619140625","1809.5323486328125","1809.5323486328125","1809.5323486328125"
"196","1637.2083740234375","1637.2083740234375","1637.2083740234375","1842.8333740234375","1842.8333740234375","1842.8333740234375"
"197","1637.6688232421875","1637.6688232421875","1637.6688232421875","1865.797119140625","1865.797119140625","1865.797119140625"
"198","1615.287353515625","1615.287353515625","1615.287353515625","1820.66357421875","1820.66357421875","1820.66357421875"
"199","1666.908203125","1666.908203125","1666.908203125","1858.5755615234375","1858.5755615234375","1858.5755615234375"
"200","1596.1600341796875","1596.1600341796875","1596.1600341796875","1777.244873046875","1777.244873046875","1777.244873046875"
"202","1630.6341552734375","1630.6341552734375","1630.6341552734375","1820.5166015625","1820.5166015625","1820.5166015625"
"203","1658.2210693359375","1658.2210693359375","1658.2210693359375","1882.90673828125","1882.90673828125","1882.90673828125"
"204","1617.7430419921875","1617.7430419921875","1617.7430419921875","1811.131103515625","1811.131103515625","1811.131103515625"
"205","1658.6512451171875","1658.6512451171875","1658.6512451171875","1832.4874267578125","1832.4874267578125","1832.4874267578125"
"206","1647.294189453125","1647.294189453125","1647.294189453125","1860.036865234375","1860.036865234375","1860.036865234375"
"207","1618.0347900390625","1618.0347900390625","1618.0347900390625","1846.75537109375","1846.75537109375","1846.75537109375"
"208","1641.3143310546875","1641.3143310546875","1641.3143310546875","1840.58642578125","1840.58642578125","1840.58642578125"
"209","1631.8626708984375","1631.8626708984375","1631.8626708984375","1842.71875","1842.71875","1842.71875"
"210","1622.6414794921875","1622.6414794921875","1622.6414794921875","1874.530029296875","1874.530029296875","1874.530029296875"
"211","1676.7381591796875","1676.7381591796875","1676.7381591796875","1890.14990234375","1890.14990234375","1890.14990234375"
"212","1649.3980712890625","1649.3980712890625","1649.3980712890625","1816.4964599609375","1816.4964599609375","1816.4964599609375"
"213","1659.9176025390625","1659.9176025390625","1659.9176025390625","1863.3944091796875","1863.3944091796875","1863.3944091796875"
"214","1640.7896728515625","1640.7896728515625","1640.7896728515625","1841.4622802734375","1841.4622802734375","1841.4622802734375"
"215","1670.4896240234375","1670.4896240234375","1670.4896240234375","1886.724609375","1886.724609375","1886.724609375"
"216","1628.8270263671875","1628.8270263671875","1628.8270263671875","1821.32421875","1821.32421875","1821.32421875"
"217","1655.9320068359375","1655.9320068359375","1655.9320068359375","1842.2293701171875","1842.2293701171875","1842.2293701171875"
"218","1650.4461669921875","1650.4461669921875","1650.4461669921875","1864.0582275390625","1864.0582275390625","1864.0582275390625"
"219","1643.932861328125","1643.932861328125","1643.932861328125","1852.4254150390625","1852.4254150390625","1852.4254150390625"
"220","1649.055908203125","1649.055908203125","1649.055908203125","1865.6497802734375","1865.6497802734375","1865.6497802734375"
"221","1668.346923828125","1668.346923828125","1668.346923828125","1894.420654296875","1894.420654296875","1894.420654296875"
