"Step","Yahoo b512 l0.0005 -- qx8h22fz - hr_5","Yahoo b512 l0.0005 -- qx8h22fz - hr_5__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_5__MAX","Yahoo b512 l0.0005 -- qx8h22fz - hr_10","Yahoo b512 l0.0005 -- qx8h22fz - hr_10__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_10__MAX","Yahoo b512 l0.0005 -- qx8h22fz - hr_20","Yahoo b512 l0.0005 -- qx8h22fz - hr_20__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_20__MAX"
"6120","0.0038593373111590707","0.0038593373111590707","0.0038593373111590707","0.00343404849562016","0.00343404849562016","0.00343404849562016","0.0029071981718928525","0.0029071981718928525","0.0029071981718928525"
"6221","0.0037831661800177734","0.0037831661800177734","0.0037831661800177734","0.00343404849562016","0.00343404849562016","0.00343404849562016","0.0030373238542592356","0.0030373238542592356","0.0030373238542592356"
"6322","0.0038720324996826204","0.0038720324996826204","0.0038720324996826204","0.003484829249714358","0.003484829249714358","0.003484829249714358","0.003062714231306335","0.003062714231306335","0.003062714231306335"
"6423","0.003846642122635521","0.003846642122635521","0.003846642122635521","0.003408658118573061","0.003408658118573061","0.003408658118573061","0.0030087596800812493","0.0030087596800812493","0.0030087596800812493"
"6524","0.003757775802970674","0.003757775802970674","0.003757775802970674","0.003307096610384664","0.003307096610384664","0.003307096610384664","0.00298336930303415","0.00298336930303415","0.00298336930303415"
"6625","0.003846642122635521","0.003846642122635521","0.003846642122635521","0.003370572553002412","0.003370572553002412","0.003370572553002412","0.0030182810714739113","0.0030182810714739113","0.0030182810714739113"
"6726","0.0037958613685413227","0.0037958613685413227","0.0037958613685413227","0.0033324869874317635","0.0033324869874317635","0.0033324869874317635","0.00305636663704456","0.00305636663704456","0.00305636663704456"
"6827","0.003986289196394566","0.003986289196394566","0.003986289196394566","0.0035165672210232322","0.0035165672210232322","0.0035165672210232322","0.0031007997968769837","0.0031007997968769837","0.0031007997968769837"
"6928","0.004087850704582963","0.004087850704582963","0.004087850704582963","0.0035610003808556555","0.0035610003808556555","0.0035610003808556555","0.0030976259997460964","0.0030976259997460964","0.0030976259997460964"
"7029","0.004252888155389108","0.004252888155389108","0.004252888155389108","0.003618128729211629","0.003618128729211629","0.003618128729211629","0.0031896661165418307","0.0031896661165418307","0.0031896661165418307"
"7130","0.004202107401294909","0.004202107401294909","0.004202107401294909","0.0036308239177351783","0.0036308239177351783","0.0036308239177351783","0.0031991875079344927","0.0031991875079344927","0.0031991875079344927"
"7231","0.004113241081630062","0.004113241081630062","0.004113241081630062","0.0037133426431382507","0.0037133426431382507","0.0037133426431382507","0.003151580550971182","0.003151580550971182","0.003151580550971182"
"7332","0.004227497778342008","0.004227497778342008","0.004227497778342008","0.003675257077567602","0.003675257077567602","0.003675257077567602","0.003135711565316745","0.003135711565316745","0.003135711565316745"
"7433","0.004138631458677162","0.004138631458677162","0.004138631458677162","0.003611781134949854","0.003611781134949854","0.003611781134949854","0.0032055351021962677","0.0032055351021962677","0.0032055351021962677"
"7534","0.004252888155389108","0.004252888155389108","0.004252888155389108","0.0036562142947822777","0.0036562142947822777","0.0036562142947822777","0.0032626634505522408","0.0032626634505522408","0.0032626634505522408"
"7635","0.004214802589818459","0.004214802589818459","0.004214802589818459","0.0035102196267614576","0.0035102196267614576","0.0035102196267614576","0.0031896661165418307","0.0031896661165418307","0.0031896661165418307"
"7736","0.004227497778342008","0.004227497778342008","0.004227497778342008","0.0036879522660911513","0.0036879522660911513","0.0036879522660911513","0.003176970928018281","0.003176970928018281","0.003176970928018281"
"7837","0.0041894122127713596","0.0041894122127713596","0.0041894122127713596","0.0036498667005205026","0.0036498667005205026","0.0036498667005205026","0.003249968262028691","0.003249968262028691","0.003249968262028691"
"7992","0.003973594007871017","0.003973594007871017","0.003973594007871017","0.003522914815285007","0.003522914815285007","0.003522914815285007","0.0031166687825314207","0.0031166687825314207","0.0031166687825314207"
"8093","0.0040116795734416654","0.0040116795734416654","0.0040116795734416654","0.0035610003808556555","0.0035610003808556555","0.0035610003808556555","0.0031071473911387583","0.0031071473911387583","0.0031071473911387583"
"8194","0.004138631458677162","0.004138631458677162","0.004138631458677162","0.0034911768439761333","0.0034911768439761333","0.0034911768439761333","0.0031261901739240826","0.0031261901739240826","0.0031261901739240826"
"8295","0.004278278532436207","0.004278278532436207","0.004278278532436207","0.003675257077567602","0.003675257077567602","0.003675257077567602","0.0031737971308873937","0.0031737971308873937","0.0031737971308873937"
"8396","0.004354449663577504","0.004354449663577504","0.004354449663577504","0.003668909483305827","0.003668909483305827","0.003668909483305827","0.003192839913672718","0.003192839913672718","0.003192839913672718"
"8497","0.00416402183572426","0.00416402183572426","0.00416402183572426","0.003643519106258728","0.003643519106258728","0.003643519106258728","0.0031737971308873937","0.0031737971308873937","0.0031737971308873937"
"8598","0.004151326647200711","0.004151326647200711","0.004151326647200711","0.0036625618890440523","0.0036625618890440523","0.0036625618890440523","0.0032118826964580424","0.0032118826964580424","0.0032118826964580424"
"8699","0.004329059286530405","0.004329059286530405","0.004329059286530405","0.003700647454614701","0.003700647454614701","0.003700647454614701","0.0032277516821124794","0.0032277516821124794","0.0032277516821124794"
"8800","0.00416402183572426","0.00416402183572426","0.00416402183572426","0.003814904151326647","0.003814904151326647","0.003814904151326647","0.003256315856290466","0.003256315856290466","0.003256315856290466"
"8901","0.0041894122127713596","0.0041894122127713596","0.0041894122127713596","0.0037196902374000253","0.0037196902374000253","0.0037196902374000253","0.003278532436206678","0.003278532436206678","0.003278532436206678"
"9002","0.004379840040624603","0.004379840040624603","0.004379840040624603","0.0037133426431382507","0.0037133426431382507","0.0037133426431382507","0.003218230290719817","0.003218230290719817","0.003218230290719817"
"9103","0.004278278532436207","0.004278278532436207","0.004278278532436207","0.0036244763234734036","0.0036244763234734036","0.0036244763234734036","0.003176970928018281","0.003176970928018281","0.003176970928018281"
"9204","0.004329059286530405","0.004329059286530405","0.004329059286530405","0.0036562142947822777","0.0036562142947822777","0.0036562142947822777","0.0031960137108036054","0.0031960137108036054","0.0031960137108036054"
"9305","0.004430620794718802","0.004430620794718802","0.004430620794718802","0.0037704709914942237","0.0037704709914942237","0.0037704709914942237","0.0032372730735051414","0.0032372730735051414","0.0032372730735051414"
"9406","0.004392535229148153","0.004392535229148153","0.004392535229148153","0.003814904151326647","0.003814904151326647","0.003814904151326647","0.0032753586390757905","0.0032753586390757905","0.0032753586390757905"
"9507","0.00446870636028945","0.00446870636028945","0.00446870636028945","0.0037387330201853496","0.0037387330201853496","0.0037387330201853496","0.0032214040878507048","0.0032214040878507048","0.0032214040878507048"
"9608","0.004392535229148153","0.004392535229148153","0.004392535229148153","0.0037768185857559983","0.0037768185857559983","0.0037768185857559983","0.003224577884981592","0.003224577884981592","0.003224577884981592"
"9709","0.004405230417671702","0.004405230417671702","0.004405230417671702","0.0037133426431382507","0.0037133426431382507","0.0037133426431382507","0.0032690110448140154","0.0032690110448140154","0.0032690110448140154"
